XSect,xminus,xplus
0.0409579325181403,0.0,1.0
0.10977296950625488,1.0,2.0
0.1957987025591652,2.0,3.0
0.25438499144085086,3.0,4.0
0.3363138032739411,4.0,5.0
0.39570818816840514,5.0,6.0
0.4788460229215236,6.0,7.0
0.5657000193476331,7.0,8.0
0.6431217637880541,8.0,9.0
0.7422513249660785,9.0,10.0
0.8204863908326055,10.0,11.0
0.9433768225490349,11.0,12.0
1.0359695409389968,12.0,13.0
1.1428953503726489,13.0,14.0
1.3861650033115245,14.0,15.0
1.5205518968521168,15.0,16.0
1.6327531182656094,16.0,17.0
1.6777887474376423,17.0,18.0
1.7929287832802197,18.0,19.0
1.8371453511978548,19.0,20.0
1.9608608845335092,20.0,21.0
2.017416736033872,21.0,22.0
2.1054626392747964,22.0,23.0
2.1493291158793095,23.0,24.0
2.237761475067384,24.0,25.0
2.378672825845581,25.0,26.0
2.4720409918658106,26.0,27.0
2.4933757872520195,27.0,28.0
2.586775684849342,28.0,29.0
2.7412029929708375,29.0,30.0
2.7838197924084387,30.0,31.0
2.8673671427233707,31.0,32.0
3.020544441744537,32.0,33.0
3.1008163739326484,33.0,34.0
3.1278497638658935,34.0,35.0
3.342934680620734,35.0,36.0
3.3973920012598597,36.0,37.0
3.4572295402493762,37.0,38.0
3.6427456067443,38.0,39.0
3.7648691904172153,39.0,40.0
3.9036398107224444,40.0,41.0
3.953197955436516,41.0,42.0
4.140859790682982,42.0,43.0
4.324769351583664,43.0,44.0
4.453845578233931,44.0,45.0
4.598846077065438,45.0,46.0
4.7515616738649005,46.0,47.0
4.957296482077754,47.0,48.0
5.255463989527632,48.0,49.0
5.340591453276224,49.0,50.0
5.547099423562512,50.0,51.0
5.698637222888999,51.0,52.0
6.135324474467302,52.0,53.0
6.372450693265978,53.0,54.0
6.567021132470971,54.0,55.0
6.992651633527365,55.0,56.0
7.186811053152324,56.0,57.0
7.559583860650875,57.0,58.0
8.115735824342456,58.0,59.0
8.46602888396712,59.0,60.0
8.958476772679935,60.0,61.0
9.458952446860799,61.0,62.0
10.059512034566792,62.0,63.0
10.722285960739358,63.0,64.0
11.492356836596311,64.0,65.0
12.30989221366304,65.0,66.0
13.19014637482576,66.0,67.0
14.451401668048604,67.0,68.0
15.744542211207532,68.0,69.0
17.250683180231274,69.0,70.0
19.020937205648305,70.0,71.0
21.642739907189174,71.0,72.0
24.428910175763594,72.0,73.0
28.106029469435896,73.0,74.0
33.26704915351955,74.0,75.0
40.13277858806638,75.0,76.0
51.01322333398892,76.0,77.0
68.17199200702146,77.0,78.0
100.91695721379092,78.0,79.0
172.1266200420246,79.0,80.0
295.49261813597604,80.0,81.0
353.9127454083615,81.0,82.0
346.1500760357022,82.0,83.0
330.5219740895876,83.0,84.0
315.7894380557141,84.0,85.0
304.2009175506608,85.0,86.0
294.2899252708882,86.0,87.0
285.4869631451149,87.0,88.0
279.1332124869477,88.0,89.0
273.3245346151255,89.0,90.0
268.3053219494757,90.0,91.0
262.8899322487769,91.0,92.0
259.85776867434913,92.0,93.0
254.94236172789294,93.0,94.0
251.89865249928766,94.0,95.0
248.96186836994292,95.0,96.0
246.05858261003524,96.0,97.0
242.3889986427317,97.0,98.0
240.14481236835388,98.0,99.0
237.03317422910993,99.0,100.0
234.32337282460105,100.0,101.0
232.00793587916078,101.0,102.0
228.69055706267434,102.0,103.0
226.48869155320435,103.0,104.0
224.7194776317388,104.0,105.0
221.69084162097937,105.0,106.0
219.21949372159074,106.0,107.0
215.80015131477572,107.0,108.0
213.68023068217138,108.0,109.0
211.41595098926547,109.0,110.0
208.95494841251391,110.0,111.0
205.67013160788042,111.0,112.0
203.61953566868138,112.0,113.0
200.39154012483465,113.0,114.0
197.79012892973185,114.0,115.0
194.72383015113215,115.0,116.0
192.05910523641637,116.0,117.0
188.83622184498446,117.0,118.0
185.91771840745704,118.0,119.0
179.7901215390698,119.0,120.0
