XSect,xminus,xplus
0.030302024402273902,0.0,1.0
0.09622448856407531,1.0,2.0
0.16993794449176888,2.0,3.0
0.2514259294673722,3.0,4.0
0.3304688841629423,4.0,5.0
0.3996579960159507,5.0,6.0
0.47419957164133136,6.0,7.0
0.5524097862649979,7.0,8.0
0.6449581446163943,8.0,9.0
0.732173418621256,9.0,10.0
0.8480791945655773,10.0,11.0
0.919721406509616,11.0,12.0
1.0430130896502692,12.0,13.0
1.1412809911713473,13.0,14.0
1.3591287998875718,14.0,15.0
1.5048991677883425,15.0,16.0
1.6052315052017467,16.0,17.0
1.7100598112805176,17.0,18.0
1.813245100108436,18.0,19.0
1.890640743858323,19.0,20.0
1.9344390649626544,20.0,21.0
2.017207801754481,21.0,22.0
2.103203045795683,22.0,23.0
2.201031289662206,23.0,24.0
2.239926326130364,24.0,25.0
2.3992477274746817,25.0,26.0
2.4348793316268456,26.0,27.0
2.4712935912591734,27.0,28.0
2.611354386145128,28.0,29.0
2.707991789130723,29.0,30.0
2.781319652120149,30.0,31.0
2.9147906972106274,31.0,32.0
2.996247903129304,32.0,33.0
3.0753328517899314,33.0,34.0
3.1592629854658933,34.0,35.0
3.3046636930751556,35.0,36.0
3.423021483416259,36.0,37.0
3.4774683568453097,37.0,38.0
3.5536260551289365,38.0,39.0
3.724761859387854,39.0,40.0
3.89275318089836,40.0,41.0
4.015516793394019,41.0,42.0
4.214130194589145,42.0,43.0
4.291951012080964,43.0,44.0
4.490957574862193,44.0,45.0
4.575292587055284,45.0,46.0
4.913618430269512,46.0,47.0
4.982363737997211,47.0,48.0
5.1514665944798885,48.0,49.0
5.414826902913162,49.0,50.0
5.595000543115927,50.0,51.0
5.815646012933086,51.0,52.0
6.114238864613167,52.0,53.0
6.2133056595676,53.0,54.0
6.630204115915937,54.0,55.0
6.923010969611926,55.0,56.0
7.321819973181447,56.0,57.0
7.553956668473341,57.0,58.0
8.028573538733633,58.0,59.0
8.520812509330625,59.0,60.0
8.886099202881514,60.0,61.0
9.494256327314947,61.0,62.0
10.22309369575873,62.0,63.0
10.741633700248533,63.0,64.0
11.529008236463524,64.0,65.0
12.293918421800647,65.0,66.0
13.227536230085846,66.0,67.0
14.40122206235382,67.0,68.0
15.701317000449377,68.0,69.0
17.278332169118446,69.0,70.0
19.23453085726771,70.0,71.0
21.47617927259965,71.0,72.0
24.32583164863401,72.0,73.0
28.14623863559079,73.0,74.0
33.180449663505364,74.0,75.0
40.20127390630833,75.0,76.0
51.03065793431461,76.0,77.0
68.17883540475206,77.0,78.0
101.15705347269761,78.0,79.0
172.54062486055784,79.0,80.0
296.11161372455916,80.0,81.0
353.1516286188424,81.0,82.0
346.63393078392676,82.0,83.0
329.4721417821371,83.0,84.0
315.04001860516763,84.0,85.0
304.0747035818306,85.0,86.0
293.7772391421277,86.0,87.0
285.3394018150067,87.0,88.0
279.33885469171736,88.0,89.0
272.9620153378484,89.0,90.0
268.02222309153103,90.0,91.0
263.68106132050804,91.0,92.0
258.6665623596839,92.0,93.0
255.5293805091007,93.0,94.0
252.2432933792696,94.0,95.0
248.82309365107105,95.0,96.0
245.56023685958078,96.0,97.0
242.98875576185694,97.0,98.0
240.021003135557,98.0,99.0
237.12724939487293,99.0,100.0
234.29631449932356,100.0,101.0
232.85177892441286,101.0,102.0
228.6553850214618,102.0,103.0
226.0851387086066,103.0,104.0
223.81927102804988,104.0,105.0
221.45836202479194,105.0,106.0
218.59795320280074,106.0,107.0
216.46851349586234,107.0,108.0
213.79059556534403,108.0,109.0
211.23986408461096,109.0,110.0
208.55119476326274,110.0,111.0
205.9730265227534,111.0,112.0
203.53164583191412,112.0,113.0
200.24626466827357,113.0,114.0
197.81499473719123,114.0,115.0
194.94501273025836,115.0,116.0
191.81236854157922,116.0,117.0
188.4239241745401,117.0,118.0
185.18300446434702,118.0,119.0
180.35807150342956,119.0,120.0
