XSect,xminus,xplus
0.039244930209917796,0.0,1.0
0.11652328928940099,1.0,2.0
0.19012030831375712,2.0,3.0
0.25511875634122844,3.0,4.0
0.3331907065051458,4.0,5.0
0.4076168970306948,5.0,6.0
0.4619949379694614,6.0,7.0
0.568319164895758,7.0,8.0
0.650060614919361,8.0,9.0
0.7440884957246172,9.0,10.0
0.8328173012814374,10.0,11.0
0.9100857993140876,11.0,12.0
1.0527836210838704,12.0,13.0
1.1558030704568925,13.0,14.0
1.3352996069463463,14.0,15.0
1.544207943591793,15.0,16.0
1.6517068637672663,16.0,17.0
1.7028327650185067,17.0,18.0
1.8103981996108334,18.0,19.0
1.872919306214882,19.0,20.0
1.9685944500927615,20.0,21.0
2.017235164665992,21.0,22.0
2.0932686381861974,22.0,23.0
2.1910197645612675,23.0,24.0
2.3381991724319406,24.0,25.0
2.3222627815005947,25.0,26.0
2.4530493154980677,26.0,27.0
2.4567211425236226,27.0,28.0
2.6141047276285416,28.0,29.0
2.686049411630357,29.0,30.0
2.7584738465428242,30.0,31.0
2.901126900621397,31.0,32.0
3.009093162967939,32.0,33.0
3.131345589913198,33.0,34.0
3.182378827845783,34.0,35.0
3.2898828172990675,35.0,36.0
3.4236787387754735,36.0,37.0
3.491938292932514,37.0,38.0
3.6595248641334495,38.0,39.0
3.81205006840403,39.0,40.0
3.8541851370918687,40.0,41.0
3.9907278368044583,41.0,42.0
4.21442001407193,42.0,43.0
4.294114591218541,43.0,44.0
4.397923919678197,44.0,45.0
4.559076072012787,45.0,46.0
4.765913066022654,46.0,47.0
4.973964306620849,47.0,48.0
5.149293619340667,48.0,49.0
5.328549525358517,49.0,50.0
5.5014833268040615,50.0,51.0
5.856342524820789,51.0,52.0
6.088940689775711,52.0,53.0
6.381720939942934,53.0,54.0
6.626579974455448,54.0,55.0
6.9041246103897205,55.0,56.0
7.239855003452184,56.0,57.0
7.668015415427851,57.0,58.0
7.951518089163919,58.0,59.0
8.474878766265745,59.0,60.0
9.008447328416512,60.0,61.0
9.437374956762174,61.0,62.0
10.11115229006299,62.0,63.0
10.573578733267338,63.0,64.0
11.456264371004497,64.0,65.0
12.314049638332879,65.0,66.0
13.227095144226684,66.0,67.0
14.319341241518169,67.0,68.0
15.859850631499608,68.0,69.0
17.268694351308877,69.0,70.0
19.159636055027242,70.0,71.0
21.42261595229737,71.0,72.0
24.399111281218566,72.0,73.0
28.155167565329783,73.0,74.0
33.31413103575613,74.0,75.0
40.48300179435451,75.0,76.0
51.18039949765061,76.0,77.0
68.51524935821799,77.0,78.0
101.54293383371926,78.0,79.0
174.10125109407429,79.0,80.0
295.89607877976414,80.0,81.0
353.177496826035,81.0,82.0
346.35965409181665,82.0,83.0
329.06184905664395,83.0,84.0
314.7743131160537,84.0,85.0
302.44611910829775,85.0,86.0
293.0830232466593,86.0,87.0
284.78576892282985,87.0,88.0
278.91035497742166,88.0,89.0
273.1130923148929,89.0,90.0
267.64533156909425,90.0,91.0
263.09240978427613,91.0,92.0
258.53141804444647,92.0,93.0
254.37605512595857,93.0,94.0
251.37431770463584,94.0,95.0
248.63344251715586,95.0,96.0
245.1806432048046,96.0,97.0
242.39214697870824,97.0,98.0
239.23439683645032,98.0,99.0
236.53356690623744,99.0,100.0
233.79982402915041,100.0,101.0
230.7407530308711,101.0,102.0
228.78076899261106,102.0,103.0
225.69469619528053,103.0,104.0
223.25698600369353,104.0,105.0
221.03291557554266,105.0,106.0
218.57849838741967,106.0,107.0
215.88279179299835,107.0,108.0
213.4131671751458,108.0,109.0
210.93981228110073,109.0,110.0
207.7260716099628,110.0,111.0
205.43476031960182,111.0,112.0
202.5009108023795,112.0,113.0
199.95559450674824,113.0,114.0
197.81893761799546,114.0,115.0
194.69235286316686,115.0,116.0
191.61933584781323,116.0,117.0
188.24432933416134,117.0,118.0
184.9467933135922,118.0,119.0
179.4736416618022,119.0,120.0
