XSect,xminus,xplus
0.0330780969464931,0.0,1.0
0.11394358708851052,1.0,2.0
0.177666736323762,2.0,3.0
0.26342279573743776,3.0,4.0
0.3479733652181118,4.0,5.0
0.40149039139314774,5.0,6.0
0.46682957266644326,6.0,7.0
0.5673043200463743,7.0,8.0
0.6497944787737541,8.0,9.0
0.7196359327587625,9.0,10.0
0.8397092875282144,10.0,11.0
0.9091391075942151,11.0,12.0
1.0765934857266362,12.0,13.0
1.19786291367496,13.0,14.0
1.334287194710499,14.0,15.0
1.5409750002182319,15.0,16.0
1.6561068919534887,16.0,17.0
1.6953566187199107,17.0,18.0
1.7741831281724336,18.0,19.0
1.863224134697297,19.0,20.0
1.9481871372459765,20.0,21.0
2.0143740891582422,21.0,22.0
2.1242187906336802,22.0,23.0
2.2324632897874337,23.0,24.0
2.2789910354089313,24.0,25.0
2.370868395752277,25.0,26.0
2.4766244230383894,26.0,27.0
2.4852566823306033,27.0,28.0
2.6016624204395566,28.0,29.0
2.7482385437844385,29.0,30.0
2.8099215060873823,30.0,31.0
2.893707660731747,31.0,32.0
2.9091526574903837,32.0,33.0
3.1174440494172,33.0,34.0
3.1869113013732973,34.0,35.0
3.2722847090069473,35.0,36.0
3.380437770333586,36.0,37.0
3.504224819213156,37.0,38.0
3.6234694855359115,38.0,39.0
3.712175979017536,39.0,40.0
3.846510273950108,40.0,41.0
4.019311621585728,41.0,42.0
4.182579693439256,42.0,43.0
4.301880904599896,43.0,44.0
4.519522625177616,44.0,45.0
4.623298181838523,45.0,46.0
4.8164966403300395,46.0,47.0
5.047269880089378,47.0,48.0
5.153417314009353,48.0,49.0
5.357709091958124,49.0,50.0
5.581028260177261,50.0,51.0
5.882932622575709,51.0,52.0
6.090330836584132,52.0,53.0
6.28844723601018,53.0,54.0
6.603783726109155,54.0,55.0
6.921914904628221,55.0,56.0
7.300988735805361,56.0,57.0
7.572552418039123,57.0,58.0
8.02909677959622,58.0,59.0
8.393897441234783,59.0,60.0
8.879007472001112,60.0,61.0
9.371189621202376,61.0,62.0
10.057381992585698,62.0,63.0
10.74108301392992,63.0,64.0
11.41739534898875,64.0,65.0
12.256368397139815,65.0,66.0
13.434575208292895,66.0,67.0
14.441837080798564,67.0,68.0
15.550162073777686,68.0,69.0
17.29336154287254,69.0,70.0
19.166839359592505,70.0,71.0
21.38192187750963,71.0,72.0
24.54656194355701,72.0,73.0
28.132108622568303,73.0,74.0
33.3157591843437,74.0,75.0
40.55301557741444,75.0,76.0
51.26542301146393,76.0,77.0
68.70104637491652,77.0,78.0
102.10785992259217,78.0,79.0
174.68975403961798,79.0,80.0
296.7292542468646,80.0,81.0
352.23780097639974,81.0,82.0
344.3252269781369,82.0,83.0
328.3806284351247,83.0,84.0
314.5904861814479,84.0,85.0
302.9518888559101,85.0,86.0
292.9453919449626,86.0,87.0
284.9339302193209,87.0,88.0
278.04355629771555,88.0,89.0
271.80276987137904,89.0,90.0
266.7603834851375,90.0,91.0
262.5080102861498,91.0,92.0
258.3199227410517,92.0,93.0
254.89866525674833,93.0,94.0
251.44121995231873,94.0,95.0
248.44504219792728,95.0,96.0
244.58883927331962,96.0,97.0
242.01789884029392,97.0,98.0
239.06249015243296,98.0,99.0
236.27513473812206,99.0,100.0
233.7406334016518,100.0,101.0
230.7663442713626,101.0,102.0
228.36649933102524,102.0,103.0
225.52963194978884,103.0,104.0
223.17780528396887,104.0,105.0
220.9741455568524,105.0,106.0
218.40345724007204,106.0,107.0
216.05215553284938,107.0,108.0
212.72012971330486,108.0,109.0
210.06132252202033,109.0,110.0
207.24728551278807,110.0,111.0
205.41036164427257,111.0,112.0
202.04706612629045,112.0,113.0
200.01214571415073,113.0,114.0
197.37186312613312,114.0,115.0
194.18455765442948,115.0,116.0
191.0559081086006,116.0,117.0
187.85874519979433,117.0,118.0
184.62245512038345,118.0,119.0
179.65035677802845,119.0,120.0
