XSect,xminus,xplus
0.024537393036488997,0.0,1.0
0.11616026372884539,1.0,2.0
0.18200430774756612,2.0,3.0
0.2543957996143989,3.0,4.0
0.30961305508682063,4.0,5.0
0.4028393919352931,5.0,6.0
0.4531698557241775,6.0,7.0
0.5635980050756307,7.0,8.0
0.6425260590142349,8.0,9.0
0.7463862289107185,9.0,10.0
0.822049255203779,10.0,11.0
0.9337405551779276,11.0,12.0
1.0854700945387916,12.0,13.0
1.2057152434976282,13.0,14.0
1.3275917706105798,14.0,15.0
1.5390662271806783,15.0,16.0
1.6621550306269126,16.0,17.0
1.7063203994000535,17.0,18.0
1.7872919348580032,18.0,19.0
1.8919993329434106,19.0,20.0
1.9361977499587757,20.0,21.0
2.0380565457112776,21.0,22.0
2.112860080640303,22.0,23.0
2.173433421840837,23.0,24.0
2.2392275847193783,24.0,25.0
2.3632200789206332,25.0,26.0
2.4707414726884775,26.0,27.0
2.503056348228655,27.0,28.0
2.613510744063435,28.0,29.0
2.6879430738212733,29.0,30.0
2.7983918665792653,30.0,31.0
2.888766931250837,31.0,32.0
2.986497968223072,32.0,33.0
3.087487600603545,33.0,34.0
3.249010708447801,34.0,35.0
3.3095755907771767,35.0,36.0
3.363185585017562,36.0,37.0
3.4629832713049726,37.0,38.0
3.719040954392471,38.0,39.0
3.72308877544674,39.0,40.0
3.8899616479036982,40.0,41.0
3.989760475632095,41.0,42.0
4.14681760978289,42.0,43.0
4.326336324349426,43.0,44.0
4.471126751361486,44.0,45.0
4.631056806310497,45.0,46.0
4.790598984733386,46.0,47.0
5.062142904865294,47.0,48.0
5.156616954859975,48.0,49.0
5.453168899424919,49.0,50.0
5.592250104161913,50.0,51.0
5.853096047045309,51.0,52.0
6.032252718234539,52.0,53.0
6.253935654612875,53.0,54.0
6.676019969144936,54.0,55.0
6.972138068557549,55.0,56.0
7.3079455244307665,56.0,57.0
7.52105442207257,57.0,58.0
8.123153565601761,58.0,59.0
8.433478848020068,59.0,60.0
8.876864323130391,60.0,61.0
9.467503414487624,61.0,62.0
10.12640516241107,62.0,63.0
10.670740666309323,63.0,64.0
11.397951629361772,64.0,65.0
12.477302894642413,65.0,66.0
13.359454659202111,66.0,67.0
14.476910654836985,67.0,68.0
15.684243221869242,68.0,69.0
17.19188761643679,69.0,70.0
19.091909702810685,70.0,71.0
21.610164819683582,71.0,72.0
24.457321894129024,72.0,73.0
28.22535849926341,73.0,74.0
33.34372865245245,74.0,75.0
40.32320575171652,75.0,76.0
51.42916046580338,76.0,77.0
68.53543244203357,77.0,78.0
101.70866502505777,78.0,79.0
173.47425951977203,79.0,80.0
296.5829712575436,80.0,81.0
352.9252581781769,81.0,82.0
346.2570827944446,82.0,83.0
329.56047851929884,83.0,84.0
314.68926550957656,84.0,85.0
303.55676521332265,85.0,86.0
293.3510090017946,86.0,87.0
284.9907122054906,87.0,88.0
278.8747983466717,88.0,89.0
272.3044430609593,89.0,90.0
267.3195063242329,90.0,91.0
262.5481883356901,91.0,92.0
258.86499176272173,92.0,93.0
255.8060604508107,93.0,94.0
251.3913844548345,94.0,95.0
248.4709576791751,95.0,96.0
245.32813534881183,96.0,97.0
242.17429267081025,97.0,98.0
239.52911238308567,98.0,99.0
236.9560609499546,99.0,100.0
233.81364065853708,100.0,101.0
231.4423538611665,101.0,102.0
228.14524834450972,102.0,103.0
225.58893826782236,103.0,104.0
223.16045196112182,104.0,105.0
221.45813456418446,105.0,106.0
218.60122178303317,106.0,107.0
216.18915752451278,107.0,108.0
213.27748122861462,108.0,109.0
210.91691441420198,109.0,110.0
207.9654092457141,110.0,111.0
205.37855146387625,111.0,112.0
202.77207391858053,112.0,113.0
199.95819140202508,113.0,114.0
197.50769464203694,114.0,115.0
194.47485911920697,115.0,116.0
191.40952792616756,116.0,117.0
188.4489785016911,117.0,118.0
184.81419179024795,118.0,119.0
179.94915989841826,119.0,120.0
