wmass,idx,xsect/events
80362,000,0.0004086636697997548
80362,001,0.000408613574142933
80362,002,0.0004088474590130422
80362,003,0.00040821325060211457
80362,004,0.0004090314136125654
80362,005,0.0004078968836678088
80362,006,0.0004081965874765287
80362,007,0.0004082299150881777
80362,008,0.0004082299150881777
80362,009,0.0004082465809348847
80362,010,0.0004082299150881777
80362,011,0.00040858018386108274
80362,012,0.0004081799257112535
80362,013,0.000408463360836533
80362,014,0.0004087137777414477
80362,015,0.0004091653027823241
80362,016,0.0004079967360261118
80362,017,0.0004080300310102823
80362,018,0.00040899795501022495
80362,019,0.00040811329224992856
80362,020,0.000408463360836533
80362,021,0.000408513419665836
80362,022,0.00040864696988271833
80362,023,0.0004084967320261438
80362,024,0.0004081799257112535
80362,025,0.00040807998367680065
80367,000,0.0004090648776896016
80367,001,0.00040889761203794574
80367,002,0.0004088641753209584
80367,003,0.000408463360836533
80367,004,0.00040939981986407926
80367,005,0.00040804668054025383
80367,006,0.00040864696988271833
80367,007,0.00040859687831984963
80367,008,0.0004084967320261438
80367,009,0.00040893105422425775
80367,010,0.0004085301086690089
80367,011,0.0004091987887715852
80367,012,0.00040827991671089697
80367,013,0.000408513419665836
80367,014,0.00040848004574976516
80367,015,0.00040889761203794574
80367,016,0.00040829658664053573
80367,017,0.00040848004574976516
80367,018,0.000408797318289592
80367,019,0.0004082299150881777
80367,020,0.00040864696988271833
80367,021,0.00040839663481172917
80367,022,0.00040864696988271833
80367,023,0.0004090481449666626
80367,024,0.00040831325793148503
80367,025,0.000408463360836533
80372,000,0.0004092155338216639
80372,001,0.00040909834724267715
80372,002,0.000408613574142933
80372,003,0.0004084133142740453
80372,004,0.00040958427196395656
80372,005,0.000408463360836533
80372,006,0.0004088808929958703
80372,007,0.0004088641753209584
80372,008,0.0004093495435752589
80372,009,0.00040876389797253105
80372,010,0.00040831325793148503
80372,011,0.00040918204509186136
80372,012,0.00040839663481172917
80372,013,0.00040894777736882995
80372,014,0.00040913182227313643
80372,015,0.0004096178265678122
80372,016,0.00040811329224992856
80372,017,0.00040816326530612246
80372,018,0.00040926577719571086
80372,019,0.0004086302713305002
80372,020,0.0004088808929958703
80372,021,0.0004090648776896016
80372,022,0.0004090314136125654
80372,023,0.0004086302713305002
80372,024,0.00040859687831984963
80372,025,0.0004087806074479826
80377,000,0.0004095004095004095
80377,001,0.0004091653027823241
80377,002,0.00040899795501022495
80377,003,0.00040889761203794574
80377,004,0.00040973531098910105
80377,005,0.0004084967320261438
80377,006,0.00040908161178155044
80377,007,0.00040913182227313643
80377,008,0.00040909834724267715
80377,009,0.0004088474590130422
80377,010,0.00040898122776164575
80377,011,0.00040918204509186136
80377,012,0.00040858018386108274
80377,013,0.00040889761203794574
80377,014,0.0004093495435752589
80377,015,0.00040933278755628325
80377,016,0.0004085467990358296
80377,017,0.00040876389797253105
80377,018,0.00040911508407314974
80377,019,0.00040864696988271833
80377,020,0.0004093160329090091
80377,021,0.00040893105422425775
80377,022,0.0004087806074479826
80377,023,0.00040889761203794574
80377,024,0.000408797318289592
80377,025,0.00040899795501022495
80382,000,0.00040956749672346006
80382,001,0.0004097520999795124
80382,002,0.00040933278755628325
80382,003,0.00040893105422425775
80382,004,0.0004097688903458449
80382,005,0.00040869707372895206
80382,006,0.00040889761203794574
80382,007,0.0004090146836271422
80382,008,0.00040938305972898845
80382,009,0.0004092825277288912
80382,010,0.00040918204509186136
80382,011,0.00040933278755628325
80382,012,0.0004088808929958703
80382,013,0.00040914856184280516
80382,014,0.0004094333442515558
80382,015,0.00040973531098910105
80382,016,0.0004091653027823241
80382,017,0.00040908161178155044
80382,018,0.0004094501085042787
80382,019,0.0004091653027823241
80382,020,0.00040898122776164575
80382,021,0.0004092992796332679
80382,022,0.00040941658137154553
80382,023,0.00040946687412988294
80382,024,0.00040911508407314974
80382,025,0.0004092490280335584
80387,000,0.0004101049868766404
80387,001,0.00040958427196395656
80387,002,0.00040946687412988294
80387,003,0.00040918204509186136
80387,004,0.0004104247896572953
80387,005,0.0004089143324473523
80387,006,0.0004096346059315091
80387,007,0.0004096178265678122
80387,008,0.00040968495227170306
80387,009,0.0004094333442515558
80387,010,0.0004096178265678122
80387,011,0.0004095339503644852
80387,012,0.0004092490280335584
80387,013,0.0004092825277288912
80387,014,0.00040966816878328555
80387,015,0.0004098696614476596
80387,016,0.0004086302713305002
80387,017,0.00040939981986407926
80387,018,0.00040970173713536544
80387,019,0.0004091987887715852
80387,020,0.0004094333442515558
80387,021,0.0004093495435752589
80387,022,0.0004097856820882678
80387,023,0.00040960104857868437
80387,024,0.00040941658137154553
80387,025,0.0004092490280335584
80392,000,0.0004101890971737971
80392,001,0.0004099872903939978
80392,002,0.00040956749672346006
80392,003,0.0004093160329090091
80392,004,0.00040995367523469846
80392,005,0.0004090146836271422
80392,006,0.0004092322802422655
80392,007,0.00040911508407314974
80392,008,0.00041007135241532026
80392,009,0.0004095339503644852
80392,010,0.00040960104857868437
80392,011,0.0004096513866699439
80392,012,0.0004092322802422655
80392,013,0.0004097688903458449
80392,014,0.00040970173713536544
80392,015,0.00040988646145017835
80392,016,0.00040941658137154553
80392,017,0.0004093160329090091
80392,018,0.0004100209110664644
80392,019,0.0004091653027823241
80392,020,0.00041007135241532026
80392,021,0.0004098192697020614
80392,022,0.00040939981986407926
80392,023,0.00040951717924566934
80392,024,0.0004098024752069503
80392,025,0.00040955072285702587
